2020-01-17 23:05:00,842 [INFO :__main__] My PID is 14796
2020-01-17 23:05:00,842 [INFO :__main__] Namespace(att_vec_size=256, batch_size=64, beam_size=1, brnn_merge='concat', cuda_seed=12345, curriculum=0, dec_dropout=0.0, dec_init='simple', dec_rnn_size=256, dev_input_src='/idiap/temp/jbello/data/validation/neusum/val.src.txt', dev_ref='/idiap/temp/jbello/data/validation/neusum/val.tgt.txt', doc_brnn=True, doc_dropout=0.2, doc_enc_size=256, dump_epoch_checkpoint=False, epochs=100, eval_per_batch=1000, extra_shuffle=True, force_max_len=True, freeze_word_vecs_enc=True, gpus=[0], halve_lr_bad_count=100000, input_feed=1, layers=1, learning_rate=0.001, learning_rate_decay=0.5, log_home='/idiap/temp/jbello/training/neusum/neusum_out_domain/sent3_10k_50d_200s/', log_interval=100, max_decode_step=3, max_doc_len=200, max_generator_batches=32, max_grad_norm=5, max_sent_length=100, max_weight_value=15, maxout_pool_size=2, norm_lambda=20, online_process_data=True, optim='adam', param_init=0.1, pre_word_vecs_dec=None, pre_word_vecs_enc='/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_10k_50d_200s/glove.6B.50d.txt', process_shuffle=False, save_path='/idiap/temp/jbello/training/neusum/neusum_out_domain/sent3_10k_50d_200s/', seed=12345, self_att_size=512, sent_brnn=True, sent_dropout=0.3, sent_enc_size=256, src_vocab='/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_10k_50d_200s/vocab.txt.10k', start_decay_at=8, start_epoch=1, start_eval_batch=1000, tgt_vocab='/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_10k_50d_200s/vocab.txt.10k', train_oracle='/idiap/temp/jbello/data/training/neusum//train.rouge_bigram_F1.oracle.regGain', train_src='/idiap/temp/jbello/data/training/neusum//train.src.txt', train_src_rouge='/idiap/temp/jbello/data/training/neusum//train.rouge_bigram_F1.oracle.regGain', train_tgt='/idiap/temp/jbello/data/training/neusum//train.tgt.txt', use_self_att=False, word_vec_size=50)
2020-01-17 23:05:00,926 [INFO :__main__] My seed is 12345
2020-01-17 23:05:05,912 [INFO :__main__] My cuda seed is 12345
2020-01-17 23:05:05,917 [INFO :onlinePreprocess] Reading source vocabulary from '/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_10k_50d_200s/vocab.txt.10k'...
2020-01-17 23:05:05,953 [INFO :onlinePreprocess] Loaded 10000 source words
2020-01-17 23:05:05,953 [INFO :onlinePreprocess] Reading target vocabulary from '/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_10k_50d_200s/vocab.txt.10k'...
2020-01-17 23:05:05,977 [INFO :onlinePreprocess] Loaded 10000 target words
2020-01-17 23:05:05,977 [INFO :onlinePreprocess] Preparing training ...
2020-01-17 23:05:05,978 [INFO :onlinePreprocess] Processing /idiap/temp/jbello/data/training/neusum//train.src.txt & /idiap/temp/jbello/data/training/neusum//train.tgt.txt ...
2020-01-17 23:05:05,985 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1)
2020-01-17 23:05:06,002 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-17 23:05:06,002 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-17 23:05:06,004 [INFO :onlinePreprocess] WARNING: ignoring an empty line (4)
2020-01-17 23:05:06,009 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (5)
2020-01-17 23:05:06,014 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (7)
2020-01-17 23:05:06,025 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (13)
2020-01-17 23:05:06,030 [INFO :onlinePreprocess] WARNING: ignoring an empty line (16)
2020-01-17 23:05:06,036 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (19)
2020-01-17 23:05:06,041 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (20)
2020-01-17 23:05:06,060 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (28)
2020-01-17 23:05:06,078 [INFO :onlinePreprocess] WARNING: ignoring an empty line (36)
2020-01-17 23:05:06,092 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (43)
2020-01-17 23:05:06,092 [INFO :onlinePreprocess] WARNING: ignoring an empty line (43)
2020-01-17 23:05:06,109 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (53)
2020-01-17 23:05:06,155 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (86)
2020-01-17 23:05:06,173 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (97)
2020-01-17 23:05:06,233 [INFO :onlinePreprocess] WARNING: ignoring an empty line (120)
2020-01-17 23:05:06,238 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (122)
2020-01-17 23:05:06,253 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (135)
2020-01-17 23:05:06,267 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (143)
2020-01-17 23:05:06,276 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (149)
2020-01-17 23:05:06,278 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (150)
2020-01-17 23:05:06,280 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (152)
2020-01-17 23:05:06,326 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (173)
2020-01-17 23:05:06,327 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (173)
2020-01-17 23:05:06,338 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (185)
