2020-01-21 20:46:30,636 [INFO :__main__] My PID is 29908
2020-01-21 20:46:30,636 [INFO :__main__] Namespace(att_vec_size=256, batch_size=64, beam_size=1, brnn_merge='concat', cuda_seed=12345, curriculum=0, dec_dropout=0.0, dec_init='simple', dec_rnn_size=256, dev_input_src='/idiap/temp/jbello/data/validation/neusum/val.src.txt', dev_ref='/idiap/temp/jbello/data/validation/neusum/val.tgt.txt', doc_brnn=True, doc_dropout=0.2, doc_enc_size=256, dump_epoch_checkpoint=False, epochs=100, eval_per_batch=1000, extra_shuffle=True, force_max_len=True, freeze_word_vecs_enc=True, gpus=[0], halve_lr_bad_count=100000, input_feed=1, layers=1, learning_rate=0.001, learning_rate_decay=0.5, log_home='/idiap/temp/jbello/training/neusum/neusum_random/sent4_10k_50d_80s/', log_interval=100, max_decode_step=4, max_doc_len=80, max_generator_batches=32, max_grad_norm=5, max_sent_length=100, max_weight_value=15, maxout_pool_size=2, norm_lambda=20, online_process_data=True, optim='adam', param_init=0.1, pre_word_vecs_dec=None, pre_word_vecs_enc='/idiap/temp/jbello/data/training/neusum//neusum_random/sent4_10k_50d_80s/random.xavier.50d.txt', process_shuffle=False, save_path='/idiap/temp/jbello/training/neusum/neusum_random/sent4_10k_50d_80s/', seed=12345, self_att_size=512, sent_brnn=True, sent_dropout=0.3, sent_enc_size=256, src_vocab='/idiap/temp/jbello/data/training/neusum//neusum_random/sent4_10k_50d_80s/vocab.txt.10k', start_decay_at=8, start_epoch=1, start_eval_batch=1000, tgt_vocab='/idiap/temp/jbello/data/training/neusum//neusum_random/sent4_10k_50d_80s/vocab.txt.10k', train_oracle='/idiap/temp/jbello/data/training/neusum//train.rouge_bigram_F1.oracle.regGain', train_src='/idiap/temp/jbello/data/training/neusum//train.src.txt', train_src_rouge='/idiap/temp/jbello/data/training/neusum//train.rouge_bigram_F1.oracle.regGain', train_tgt='/idiap/temp/jbello/data/training/neusum//train.tgt.txt', use_self_att=False, word_vec_size=50)
2020-01-21 20:46:30,690 [INFO :__main__] My seed is 12345
2020-01-21 20:46:35,719 [INFO :__main__] My cuda seed is 12345
2020-01-21 20:46:35,724 [INFO :onlinePreprocess] Reading source vocabulary from '/idiap/temp/jbello/data/training/neusum//neusum_random/sent4_10k_50d_80s/vocab.txt.10k'...
2020-01-21 20:46:35,745 [INFO :onlinePreprocess] Loaded 10000 source words
2020-01-21 20:46:35,745 [INFO :onlinePreprocess] Reading target vocabulary from '/idiap/temp/jbello/data/training/neusum//neusum_random/sent4_10k_50d_80s/vocab.txt.10k'...
2020-01-21 20:46:35,764 [INFO :onlinePreprocess] Loaded 10000 target words
2020-01-21 20:46:35,764 [INFO :onlinePreprocess] Preparing training ...
2020-01-21 20:46:35,764 [INFO :onlinePreprocess] Processing /idiap/temp/jbello/data/training/neusum//train.src.txt & /idiap/temp/jbello/data/training/neusum//train.tgt.txt ...
2020-01-21 20:46:35,771 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1)
2020-01-21 20:46:35,774 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1)
2020-01-21 20:46:35,777 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (2)
2020-01-21 20:46:35,779 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (2)
2020-01-21 20:46:35,780 [INFO :onlinePreprocess] WARNING: ignoring an empty line (3)
2020-01-21 20:46:35,781 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-21 20:46:35,781 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-21 20:46:35,784 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (5)
2020-01-21 20:46:35,794 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (11)
2020-01-21 20:46:35,797 [INFO :onlinePreprocess] WARNING: ignoring an empty line (14)
2020-01-21 20:46:35,797 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (14)
2020-01-21 20:46:35,798 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (14)
2020-01-21 20:46:35,798 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (15)
2020-01-21 20:46:35,799 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (15)
2020-01-21 20:46:35,800 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (15)
2020-01-21 20:46:35,809 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (21)
2020-01-21 20:46:35,810 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (22)
2020-01-21 20:46:35,813 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (25)
2020-01-21 20:46:35,821 [INFO :onlinePreprocess] WARNING: ignoring an empty line (29)
2020-01-21 20:46:35,832 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (36)
2020-01-21 20:46:35,832 [INFO :onlinePreprocess] WARNING: ignoring an empty line (36)
2020-01-21 20:46:35,845 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (46)
2020-01-21 20:46:35,857 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (57)
2020-01-21 20:46:35,862 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (61)
2020-01-21 20:46:35,863 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (61)
2020-01-21 20:46:35,873 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (70)
