2020-01-17 15:54:46,126 [INFO :__main__] My PID is 17607
2020-01-17 15:54:46,127 [INFO :__main__] Namespace(att_vec_size=256, batch_size=64, beam_size=1, brnn_merge='concat', cuda_seed=12345, curriculum=0, dec_dropout=0.0, dec_init='simple', dec_rnn_size=256, dev_input_src='/idiap/temp/jbello/data/validation/neusum/val.src.txt', dev_ref='/idiap/temp/jbello/data/validation/neusum/val.tgt.txt', doc_brnn=True, doc_dropout=0.2, doc_enc_size=256, dump_epoch_checkpoint=False, epochs=100, eval_per_batch=1000, extra_shuffle=True, force_max_len=True, freeze_word_vecs_enc=True, gpus=[0], halve_lr_bad_count=100000, input_feed=1, layers=1, learning_rate=0.001, learning_rate_decay=0.5, log_home='/idiap/temp/jbello/training/neusum/neusum_out_domain/sent3_100k_100d_200s/', log_interval=100, max_decode_step=3, max_doc_len=200, max_generator_batches=32, max_grad_norm=5, max_sent_length=100, max_weight_value=15, maxout_pool_size=2, norm_lambda=20, online_process_data=True, optim='adam', param_init=0.1, pre_word_vecs_dec=None, pre_word_vecs_enc='/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_100k_100d_200s/glove.6B.100d.txt', process_shuffle=False, save_path='/idiap/temp/jbello/training/neusum/neusum_out_domain/sent3_100k_100d_200s/', seed=12345, self_att_size=512, sent_brnn=True, sent_dropout=0.3, sent_enc_size=256, src_vocab='/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_100k_100d_200s/vocab.txt.100k', start_decay_at=8, start_epoch=1, start_eval_batch=1000, tgt_vocab='/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_100k_100d_200s/vocab.txt.100k', train_oracle='/idiap/temp/jbello/data/training/neusum//train.rouge_bigram_F1.oracle.regGain', train_src='/idiap/temp/jbello/data/training/neusum//train.src.txt', train_src_rouge='/idiap/temp/jbello/data/training/neusum//train.rouge_bigram_F1.oracle.regGain', train_tgt='/idiap/temp/jbello/data/training/neusum//train.tgt.txt', use_self_att=False, word_vec_size=100)
2020-01-17 15:54:46,177 [INFO :__main__] My seed is 12345
2020-01-17 15:54:51,012 [INFO :__main__] My cuda seed is 12345
2020-01-17 15:54:51,017 [INFO :onlinePreprocess] Reading source vocabulary from '/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_100k_100d_200s/vocab.txt.100k'...
2020-01-17 15:54:51,209 [INFO :onlinePreprocess] Loaded 100000 source words
2020-01-17 15:54:51,209 [INFO :onlinePreprocess] Reading target vocabulary from '/idiap/temp/jbello/data/training/neusum//neusum_out_domain/sent3_100k_100d_200s/vocab.txt.100k'...
2020-01-17 15:54:51,375 [INFO :onlinePreprocess] Loaded 100000 target words
2020-01-17 15:54:51,376 [INFO :onlinePreprocess] Preparing training ...
2020-01-17 15:54:51,376 [INFO :onlinePreprocess] Processing /idiap/temp/jbello/data/training/neusum//train.src.txt & /idiap/temp/jbello/data/training/neusum//train.tgt.txt ...
2020-01-17 15:54:51,385 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1)
2020-01-17 15:54:51,398 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-17 15:54:51,398 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-17 15:54:51,399 [INFO :onlinePreprocess] WARNING: ignoring an empty line (4)
2020-01-17 15:54:51,402 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (5)
2020-01-17 15:54:51,405 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (7)
2020-01-17 15:54:51,413 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (13)
2020-01-17 15:54:51,416 [INFO :onlinePreprocess] WARNING: ignoring an empty line (16)
2020-01-17 15:54:51,420 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (19)
2020-01-17 15:54:51,423 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (20)
2020-01-17 15:54:51,436 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (28)
2020-01-17 15:54:51,461 [INFO :onlinePreprocess] WARNING: ignoring an empty line (36)
2020-01-17 15:54:51,485 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (43)
2020-01-17 15:54:51,485 [INFO :onlinePreprocess] WARNING: ignoring an empty line (43)
2020-01-17 15:54:51,511 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (53)
2020-01-17 15:54:51,571 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (86)
2020-01-17 15:54:51,591 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (97)
2020-01-17 15:54:51,646 [INFO :onlinePreprocess] WARNING: ignoring an empty line (120)
2020-01-17 15:54:51,651 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (122)
2020-01-17 15:54:51,666 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (135)
2020-01-17 15:54:51,680 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (143)
2020-01-17 15:54:51,689 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (149)
2020-01-17 15:54:51,691 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (150)
2020-01-17 15:54:51,694 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (152)
2020-01-17 15:54:51,740 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (173)
2020-01-17 15:54:51,741 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (173)
2020-01-17 15:54:51,753 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (185)
